Ref,Part,Package,Qty,Note
U1,Raspberry Pi Pico,module (2x20 header),1,RP2040: PIO bus IF + SD read
U2,74LVC245A,TSSOP-20,1,"data driver Pico->bus (5V-tol in, 3.3V out = TTL VIH ok)"
U3,74LVC245A,TSSOP-20,1,control sense 5V->3.3V
U4,74HC688,SOIC-20W,1,address compare: port 70h + /M1 qualify
U5,74HC32,SOIC-14,1,/OE = /SEL|/IORQ|/RD|A0
Q1,2N7002,SOT-23,1,/WAIT open-drain (hardware flow control)
R1,4.7k,0805,1,/WAIT pull-up to +5V
R2,10k,0805,1,WAIT gate pull-down (release on boot)
C1-C4,100nF,0603,4,decoupling
C5,10uF,0805,1,bulk
J1,PC-8001 expansion,2x25 2.54mm (verify!),1,PINOUT PLACEHOLDER - check service manual
J2,microSD,Hirose DM3AT,1,SPI mode
